load_name,container,pod,avg_cpu_cores,avg_cpu_millicores,avg_cpu_percent,max_cpu_cores,max_cpu_millicores,max_cpu_percent,avg_memory_gb,avg_memory_percent,max_memory_gb,max_memory_percent
high,tempo,tempo-simplest-0,1.9254851723888942,1925.4851723888942,94.42,2.7001400220809924,2700.1400220809924,95.14,21.11865939264712,99.39,39.16006088256836,99.63
high,tempo-gateway,tempo-simplest-0,0.0783709400618649,78.3709400618649,3.84,0.09518553644680375,95.18553644680375,3.35,0.09932368734608525,0.47,0.10944747924804688,0.28
high,tempo-gateway-opa,tempo-simplest-0,0.035518771956322324,35.518771956322325,1.74,0.04282555263809708,42.82555263809708,1.51,0.02450287860372792,0.12,0.03141021728515625,0.08
high,tempo-query,tempo-simplest-0,2.649983474460896e-07,0.0002649983474460896,0.0,3.2344416058083695e-07,0.000323444160580837,0.0,0.004764556884765625,0.02,0.004764556884765625,0.01
low,tempo,tempo-simplest-0,2.664449876568188,2664.4498765681883,98.18,3.4352900160211393,3435.2900160211393,98.24,2.0609946872877036,96.34,2.8982620239257812,97.19
low,tempo-gateway,tempo-simplest-0,0.03615424052726692,36.15424052726692,1.33,0.04507764736208446,45.077647362084456,1.29,0.05843784498131793,2.73,0.0620269775390625,2.08
low,tempo-gateway-opa,tempo-simplest-0,0.013292076068244426,13.292076068244425,0.49,0.01653616387658575,16.53616387658575,0.47,0.01637483679729959,0.77,0.01819610595703125,0.61
low,tempo-query,tempo-simplest-0,3.656557100388951e-07,0.0003656557100388951,0.0,4.281884683669321e-07,0.0004281884683669321,0.0,0.003595435101052989,0.17,0.003627777099609375,0.12
medium,tempo,tempo-simplest-0,1.4902374107707816,1490.2374107707817,97.32,2.2604004869315553,2260.4004869315554,97.85,9.913140421328338,99.14,18.65108871459961,99.49
medium,tempo-gateway,tempo-simplest-0,0.02900767770592219,29.00767770592219,1.89,0.034766601674859475,34.76660167485947,1.5,0.06347382586935292,0.63,0.07064056396484375,0.38
medium,tempo-gateway-opa,tempo-simplest-0,0.012071687268733675,12.071687268733676,0.79,0.014969671018141163,14.969671018141163,0.65,0.01814634903617527,0.18,0.019878387451171875,0.11
medium,tempo-query,tempo-simplest-0,3.040115811695879e-07,0.0003040115811695879,0.0,3.686857090480008e-07,0.00036868570904800076,0.0,0.004791425622027853,0.05,0.00479888916015625,0.03
very-high,tempo,tempo-simplest-0,6.027556687219217,6027.556687219218,89.7,7.201714796738237,7201.714796738237,89.36,13.841805971585787,99.09,23.719310760498047,99.31
very-high,tempo-gateway,tempo-simplest-0,0.45235638797627936,452.35638797627934,6.73,0.5658463596569214,565.8463596569214,7.02,0.09036907619900174,0.65,0.10926055908203125,0.46
very-high,tempo-gateway-opa,tempo-simplest-0,0.24010414227132088,240.10414227132088,3.57,0.29156624494672595,291.56624494672593,3.62,0.03346294826931424,0.24,0.051166534423828125,0.21
very-high,tempo-query,tempo-simplest-0,4.828171727626324e-06,0.004828171727626325,0.0,4.669535254190331e-05,0.04669535254190331,0.0,0.0033777872721354168,0.02,0.003803253173828125,0.02
