load_name,timestamp,datetime,minute,cpu_cores,memory_gb,spans_per_sec,bytes_per_sec,p50_latency_ms,p90_latency_ms,p99_latency_ms,query_failures_per_sec,dropped_spans_per_sec
"very-high",1764558654,"2025-12-01T03:10:54Z",1,7.0938650623580255,3.869274139404297,19134.63333333333,2094407.9,3576.4996809189533,4948.229100191448,9411.095890410954,0,0
"very-high",1764558714,"2025-12-01T03:11:54Z",2,7.83952432291194,3.8817520141601562,20208.7,2213309.3666666667,3447.3854099418973,4916.074887023886,9351.851851851854,0,0
"very-high",1764558774,"2025-12-01T03:12:54Z",3,8.954570112644129,3.334228515625,61457.066666666666,6744165.2,1566.9414212548013,2356.025928297055,4074.662162162165,0,0
"very-high",1764558834,"2025-12-01T03:13:54Z",4,8.68429919226004,3.3489913940429688,60262.4,6616032.533333333,1457.9110360360362,2344.0596846846847,4155.686695278977,0,0
"very-high",1764558894,"2025-12-01T03:14:54Z",5,8.330666040264523,3.204998016357422,66679.46666666666,7315894.7,1604.499274310595,2370.6337687469763,4229.766536964974,0,0
"very-high",1764558954,"2025-12-01T03:15:54Z",6,8.149019101385942,3.133502960205078,62412.799999999996,6848142.6,1361.7216117216121,2323.382173382174,4057.89473684211,0,0
"very-high",1764559014,"2025-12-01T03:16:54Z",7,8.226022833226732,3.1308517456054688,63436.799999999996,6962881.8,1645.9654407102094,2385.692771084338,4345.370370370371,0,0
"very-high",1764559074,"2025-12-01T03:17:54Z",8,8.215892045511353,3.2683334350585938,64972.799999999996,7129215.766666667,1535.1514620907021,2358.930134827526,4206.376518218624,0,0
"very-high",1764559134,"2025-12-01T03:18:54Z",9,8.211795859385694,3.1534805297851562,64494.933333333334,7075875.266666667,1694.1049336711883,2391.4070651363845,4336.989795918366,0,0
"very-high",1764559194,"2025-12-01T03:19:54Z",10,7.982739728614305,3.041461944580078,63982.933333333334,7023113.233333333,1831.0505719446116,2514.1318977119813,4760.497981157472,0,0
"very-high",1764559254,"2025-12-01T03:20:54Z",11,7.867029446322346,3.134784698486328,61713.066666666666,6774304.033333333,1725.5684567005324,2467.416545718433,4696.716772151899,0.017241379310344827,0
"very-high",1764559314,"2025-12-01T03:21:54Z",12,7.952993302637029,3.105785369873047,65297.066666666666,7167632.133333333,1790.991632544063,3336.48648648649,4870.135135135138,0,0
"very-high",1764559374,"2025-12-01T03:22:54Z",13,7.451789589250996,2.735076904296875,63897.6,7012774.133333333,1236.4907819453285,4139.945652173914,4913.994565217391,0.017241379310344827,0
"very-high",1764559434,"2025-12-01T03:23:54Z",14,6.451381533281617,2.737457275390625,64512,7080980.766666667,3559.0458811261733,4766.553701772681,7794.285714285747,0,0
"very-high",1764559494,"2025-12-01T03:24:54Z",15,7.611752254088265,2.964031219482422,62839.46666666667,6892654.266666667,3644.1798941798943,4755.291005291006,5800.000000000093,0,0
"very-high",1764559554,"2025-12-01T03:25:54Z",16,7.706267753057083,2.9638595581054688,66133.33333333333,7259398.033333333,3690.3602726387535,4771.665043816943,6781.159420289853,0,0
"very-high",1764559614,"2025-12-01T03:26:54Z",17,7.867715684023773,3.0040206909179688,63880.53333333333,7010290.466666667,3713.253612356752,4795.964125560539,7969.1588785046815,0,0
"very-high",1764559674,"2025-12-01T03:27:54Z",18,7.183832804459376,3.0040206909179688,64085.333333333336,7033591.6,2741.2060301507545,4564.99162479062,4975.343383584591,0,0
"very-high",1764559734,"2025-12-01T03:28:54Z",19,8.232184641240627,2.9306678771972656,64136.53333333333,7039804.433333334,2608.2746478873246,4539.9647887323945,4974.595070422535,0,0
"very-high",1764559794,"2025-12-01T03:29:54Z",20,8.175767949299193,2.879058837890625,64375.46666666667,7063728.399999999,2221.662468513854,4352.469959946596,4935.246995994659,0,0
"very-high",1764559854,"2025-12-01T03:30:54Z",21,8.114366701683768,2.929462432861328,64597.333333333336,7089731.066666666,3161.1508646392363,4664.4305307096,5331.481481481496,0,0
"very-high",1764559914,"2025-12-01T03:31:54Z",22,7.1477052550323155,2.928691864013672,64324.26666666666,7059854.566666666,2513.6491722437463,4502.729834448749,4950.272983444875,0,0
"very-high",1764559974,"2025-12-01T03:32:54Z",23,8.109294557789958,2.9178810119628906,63300.26666666666,6947142.833333333,2416.889856042852,4471.092278719398,4949.6516007532955,0,0
"very-high",1764560034,"2025-12-01T03:33:54Z",24,8.131597161458647,2.8493003845214844,64017.066666666666,7026411.2,2297.9379891631547,4410.957490713991,4944.81015270326,0,0
"very-high",1764560094,"2025-12-01T03:34:54Z",25,8.068562698402872,2.8476295471191406,64716.799999999996,7101102.3,2501.3246202755213,4501.677852348992,4951.757329565524,0,0
"very-high",1764560154,"2025-12-01T03:35:54Z",26,7.181967909067154,2.9036293029785156,64546.13333333333,7085714.1,2332.895550061805,4431.429140127389,4946.72571656051,0.017241379310344827,0
"very-high",1764560214,"2025-12-01T03:36:54Z",27,7.232629327319742,2.9036293029785156,63296.299999999996,6948323.766666667,2353.0092592592596,4440.54936611602,4945.783711102575,0,0
